"Wahlkreisnummer 1994",AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,"darunter Wahlberechtigte mit Sperrvermerk",Wähler,Wahlbeteiligung,"Ungültige Zweitstimmen","Gültige Zweitstimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",FDP,"Anteil FDP in %",BFWG,"Anteil BFWG in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %",Bürger,"Anteil Bürger in %",DSU,"Anteil DSU in %",GRAUE,"Anteil GRAUE in %",REP,"Anteil REP in %",ÖDP,"Anteil ÖDP in %",PDS,"Anteil PDS in %",UWVB,"Anteil UWVB in %"
3,1206835605,Roddahn,0011,198,0,106,"53,54",1,105,49,"46,67",9,"8,57",1,"0,95",0,"0,00",17,"16,19",0,"0,00",0,"0,00",0,"0,00",1,"0,95",0,"0,00",24,"22,86",4,"3,81"
3,1206836402,Rosenwinkel,0001,112,1,77,"68,75",1,76,45,"59,21",15,"19,74",1,"1,32",0,"0,00",4,"5,26",3,"3,95",0,"0,00",0,"0,00",0,"0,00",1,"1,32",7,"9,21",0,"0,00"
3,1206836808,Rossow,0001,139,0,81,"58,27",1,80,47,"58,75",24,"30,00",0,"0,00",0,"0,00",1,"1,25",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",7,"8,75",1,"1,25"
3,1206837609,Schönberg,0001,222,2,111,"50,00",1,110,66,"60,00",20,"18,18",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",18,"16,36",6,"5,45"
3,1206838403,Schönermark,0013,251,0,137,"54,58",4,133,54,"40,60",52,"39,10",3,"2,26",1,"0,75",4,"3,01",0,"0,00",1,"0,75",0,"0,00",5,"3,76",0,"0,00",12,"9,02",1,"0,75"
3,1206839208,Schweinrich,0001,148,2,97,"65,54",0,97,50,"51,55",20,"20,62",3,"3,09",0,"0,00",11,"11,34",0,"0,00",0,"0,00",0,"0,00",1,"1,03",0,"0,00",12,"12,37",0,"0,00"
3,1206840009,Segeletz,0001,202,0,117,"57,92",1,116,88,"75,86",17,"14,66",4,"3,45",0,"0,00",1,"0,86",0,"0,00",0,"0,00",0,"0,00",2,"1,72",0,"0,00",4,"3,45",0,"0,00"
3,1206840408,Sewekow,0001,136,0,82,"60,29",3,79,43,"54,43",20,"25,32",4,"5,06",0,"0,00",2,"2,53",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",8,"10,13",2,"2,53"
3,1206840805,Sieversdorf,0012,492,14,249,"50,61",7,242,140,"57,85",54,"22,31",11,"4,55",1,"0,41",9,"3,72",7,"2,89",1,"0,41",0,"0,00",6,"2,48",0,"0,00",8,"3,31",5,"2,07"
3,1206841605,Stüdenitz,0013,406,7,215,"52,96",2,213,90,"42,25",80,"37,56",3,"1,41",0,"0,00",1,"0,47",3,"1,41",0,"0,00",1,"0,47",1,"0,47",0,"0,00",16,"7,51",18,"8,45"
3,1206842403,Teetz/Ganz,0015,260,4,167,"64,23",1,166,108,"65,06",33,"19,88",1,"0,60",1,"0,60",4,"2,41",0,"0,00",0,"0,00",1,"0,60",1,"0,60",0,"0,00",16,"9,64",1,"0,60"
3,1206842809,Trieplatz,0001,95,2,70,"73,68",1,69,41,"59,42",21,"30,43",1,"1,45",0,"0,00",2,"2,90",1,"1,45",0,"0,00",0,"0,00",0,"0,00",0,"0,00",3,"4,35",0,"0,00"
3,1206846002,Wernikow,0001,159,0,124,"77,99",3,121,62,"51,24",34,"28,10",3,"2,48",0,"0,00",1,"0,83",0,"0,00",0,"0,00",0,"0,00",1,"0,83",2,"1,65",18,"14,88",0,"0,00"
3,1206846800,Wittstock/Dosse,0001,101,6,75,"74,26",1,74,37,"50,00",24,"32,43",2,"2,70",0,"0,00",2,"2,70",2,"2,70",0,"0,00",0,"0,00",0,"0,00",0,"0,00",7,"9,46",0,"0,00"
