AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,darunter: Wahlberechtigte mit Sperrvermerk,Wähler,Wahlbeteiligung,"Ungültige Zweitstimmen","Gültige Zweitstimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",PDS,"Anteil PDS in %",BFWG,"Anteil BFWG in %","BFB-Die Offensive","Anteil BFB-Die Offensive in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %",DVU,"Anteil DVU in %",F.D.P.,"Anteil F.D.P. in %",NPD,"Anteil NPD in %"
1205200000,Cottbus,0065,1119,104,584,"52,19",3,581,255,"43,89",104,"17,90",162,"27,88",5,"0,86",1,"0,17",11,"1,89",23,"3,96",15,"2,58",5,"0,86"
1205200000,Cottbus,0066,1061,94,505,"47,60",5,500,226,"45,20",94,"18,80",145,"29,00",2,"0,40",1,"0,20",3,"0,60",18,"3,60",9,"1,80",2,"0,40"
1205200000,Cottbus,0067,1066,114,493,"46,25",9,484,202,"41,74",95,"19,63",145,"29,96",2,"0,41",1,"0,21",15,"3,10",13,"2,69",8,"1,65",3,"0,62"
1205200000,Cottbus,0068,1071,104,498,"46,50",7,491,192,"39,10",111,"22,61",124,"25,25",3,"0,61",0,"0,00",25,"5,09",17,"3,46",19,"3,87",0,"0,00"
1205200000,Cottbus,0069,970,132,430,"44,33",1,429,188,"43,82",94,"21,91",104,"24,24",0,"0,00",1,"0,23",17,"3,96",16,"3,73",5,"1,17",4,"0,93"
1205200000,Cottbus,0070,1067,69,496,"46,49",5,491,191,"38,90",120,"24,44",126,"25,66",1,"0,20",0,"0,00",10,"2,04",25,"5,09",10,"2,04",8,"1,63"
1205200000,Cottbus,0071,872,41,415,"47,59",5,410,166,"40,49",89,"21,71",115,"28,05",0,"0,00",0,"0,00",10,"2,44",17,"4,15",10,"2,44",3,"0,73"
1205200000,Cottbus,0072,953,79,485,"50,89",7,478,189,"39,54",145,"30,33",117,"24,48",1,"0,21",0,"0,00",9,"1,88",14,"2,93",2,"0,42",1,"0,21"
1205200000,Cottbus,0073,1138,78,632,"55,54",5,627,268,"42,74",149,"23,76",161,"25,68",0,"0,00",0,"0,00",8,"1,28",25,"3,99",14,"2,23",2,"0,32"
1205200000,Cottbus,0074,1028,46,521,"50,68",7,514,203,"39,49",95,"18,48",147,"28,60",3,"0,58",4,"0,78",11,"2,14",37,"7,20",12,"2,33",2,"0,39"
1205200000,Cottbus,0075,1010,69,444,"43,96",1,443,183,"41,31",108,"24,38",115,"25,96",0,"0,00",1,"0,23",11,"2,48",15,"3,39",6,"1,35",4,"0,90"
1205200000,Cottbus,0076,1199,49,456,"38,03",12,444,212,"47,75",80,"18,02",117,"26,35",2,"0,45",0,"0,00",6,"1,35",18,"4,05",4,"0,90",5,"1,13"
1205200000,Cottbus,0077,1212,73,645,"53,22",1,644,270,"41,93",182,"28,26",120,"18,63",0,"0,00",1,"0,16",10,"1,55",39,"6,06",14,"2,17",8,"1,24"
1205200000,Cottbus,0078,755,34,289,"38,28",4,285,101,"35,44",78,"27,37",74,"25,96",1,"0,35",0,"0,00",2,"0,70",21,"7,37",3,"1,05",5,"1,75"
1205200000,Cottbus,0079,871,37,322,"36,97",7,315,141,"44,76",63,"20,00",78,"24,76",0,"0,00",0,"0,00",8,"2,54",15,"4,76",5,"1,59",5,"1,59"
1205200000,Cottbus,0080,894,40,315,"35,23",6,309,126,"40,78",72,"23,30",85,"27,51",0,"0,00",1,"0,32",3,"0,97",12,"3,88",6,"1,94",4,"1,29"
1205200000,Cottbus,0081,767,22,313,"40,81",3,310,127,"40,97",68,"21,94",77,"24,84",0,"0,00",1,"0,32",7,"2,26",14,"4,52",8,"2,58",8,"2,58"
1205200000,Cottbus,0082,968,33,354,"36,57",2,352,145,"41,19",70,"19,89",101,"28,69",1,"0,28",0,"0,00",4,"1,14",22,"6,25",4,"1,14",5,"1,42"
1205200000,Cottbus,0083,468,28,248,"52,99",4,244,115,"47,13",73,"29,92",27,"11,07",3,"1,23",0,"0,00",4,"1,64",7,"2,87",11,"4,51",4,"1,64"
1205200000,Cottbus,0084,397,8,240,"60,45",3,237,111,"46,84",80,"33,76",17,"7,17",0,"0,00",0,"0,00",3,"1,27",14,"5,91",11,"4,64",1,"0,42"
1205200000,Cottbus,0085,1285,68,689,"53,62",7,682,274,"40,18",237,"34,75",110,"16,13",6,"0,88",1,"0,15",5,"0,73",26,"3,81",20,"2,93",3,"0,44"
1205200000,Cottbus,0086,1182,78,681,"57,61",3,678,217,"32,01",209,"30,83",163,"24,04",2,"0,29",2,"0,29",22,"3,24",31,"4,57",27,"3,98",5,"0,74"
1205200000,Cottbus,0088,569,20,325,"57,12",2,323,128,"39,63",105,"32,51",58,"17,96",1,"0,31",2,"0,62",9,"2,79",14,"4,33",5,"1,55",1,"0,31"
1205200000,Cottbus,0103,1085,109,492,"45,35",4,488,180,"36,89",102,"20,90",159,"32,58",0,"0,00",2,"0,41",11,"2,25",11,"2,25",22,"4,51",1,"0,20"
1205200000,Cottbus,1501,689,71,382,"55,44",5,377,177,"46,95",114,"30,24",56,"14,85",2,"0,53",0,"0,00",9,"2,39",14,"3,71",5,"1,33",0,"0,00"
1205200000,Cottbus,1502,686,41,411,"59,91",4,407,161,"39,56",129,"31,70",81,"19,90",0,"0,00",1,"0,25",5,"1,23",17,"4,18",11,"2,70",2,"0,49"
1205200000,Cottbus,4501,750,58,381,"50,80",6,375,141,"37,60",113,"30,13",93,"24,80",1,"0,27",0,"0,00",1,"0,27",14,"3,73",9,"2,40",3,"0,80"
1205200000,Cottbus,4502,608,24,300,"49,34",2,298,109,"36,58",102,"34,23",54,"18,12",2,"0,67",0,"0,00",4,"1,34",12,"4,03",15,"5,03",0,"0,00"
1205290000,Briefwahlbezirk,9001,0,0,791,"0,00",4,787,293,"37,23",184,"23,38",236,"29,99",1,"0,13",3,"0,38",33,"4,19",18,"2,29",14,"1,78",5,"0,64"
1205290000,Briefwahlbezirk,9002,0,0,801,"0,00",2,799,301,"37,67",160,"20,03",282,"35,29",0,"0,00",1,"0,13",22,"2,75",11,"1,38",22,"2,75",0,"0,00"
1205290000,Briefwahlbezirk,9003,0,0,814,"0,00",3,811,307,"37,85",155,"19,11",288,"35,51",2,"0,25",3,"0,37",30,"3,70",16,"1,97",9,"1,11",1,"0,12"
1205290000,Briefwahlbezirk,9004,0,0,828,"0,00",5,823,327,"39,73",167,"20,29",273,"33,17",0,"0,00",5,"0,61",24,"2,92",13,"1,58",11,"1,34",3,"0,36"
1205290000,Briefwahlbezirk,9005,0,0,793,"0,00",0,793,302,"38,08",164,"20,68",252,"31,78",4,"0,50",3,"0,38",34,"4,29",13,"1,64",14,"1,77",7,"0,88"
1205290000,Briefwahlbezirk,9006,0,0,793,"0,00",6,787,322,"40,91",154,"19,57",252,"32,02",5,"0,64",3,"0,38",16,"2,03",14,"1,78",21,"2,67",0,"0,00"
1205290000,Briefwahlbezirk,9007,0,0,778,"0,00",8,770,284,"36,88",175,"22,73",253,"32,86",2,"0,26",2,"0,26",18,"2,34",17,"2,21",16,"2,08",3,"0,39"
1205290000,Briefwahlbezirk,9008,0,0,770,"0,00",6,764,318,"41,62",163,"21,34",234,"30,63",1,"0,13",1,"0,13",17,"2,23",19,"2,49",10,"1,31",1,"0,13"
1205300000,Frankfurt (Oder),0001,1049,83,463,"44,14",7,456,166,"36,40",121,"26,54",116,"25,44",1,"0,22",2,"0,44",16,"3,51",21,"4,61",4,"0,88",9,"1,97"
1205300000,Frankfurt (Oder),0002,767,65,313,"40,81",1,312,126,"40,38",61,"19,55",98,"31,41",0,"0,00",0,"0,00",10,"3,21",11,"3,53",4,"1,28",2,"0,64"
1205300000,Frankfurt (Oder),0003,1141,114,461,"40,40",3,458,160,"34,93",82,"17,90",164,"35,81",1,"0,22",3,"0,66",13,"2,84",16,"3,49",7,"1,53",12,"2,62"
1205300000,Frankfurt (Oder),0004,1061,94,492,"46,37",3,489,181,"37,01",104,"21,27",173,"35,38",1,"0,20",4,"0,82",4,"0,82",13,"2,66",2,"0,41",7,"1,43"
1205300000,Frankfurt (Oder),0005,260,28,145,"55,77",0,145,52,"35,86",40,"27,59",41,"28,28",0,"0,00",1,"0,69",5,"3,45",3,"2,07",1,"0,69",2,"1,38"
1205300000,Frankfurt (Oder),0006,1038,68,512,"49,33",6,506,190,"37,55",125,"24,70",153,"30,24",1,"0,20",1,"0,20",1,"0,20",20,"3,95",5,"0,99",10,"1,98"
1205300000,Frankfurt (Oder),0007,799,75,343,"42,93",5,338,135,"39,94",91,"26,92",79,"23,37",0,"0,00",1,"0,30",6,"1,78",9,"2,66",9,"2,66",8,"2,37"
1205300000,Frankfurt (Oder),0008,586,39,289,"49,32",3,286,104,"36,36",61,"21,33",96,"33,57",1,"0,35",1,"0,35",3,"1,05",17,"5,94",1,"0,35",2,"0,70"
1205300000,Frankfurt (Oder),0009,704,74,327,"46,45",2,325,110,"33,85",64,"19,69",125,"38,46",1,"0,31",1,"0,31",3,"0,92",15,"4,62",2,"0,62",4,"1,23"
1205300000,Frankfurt (Oder),0010,758,59,364,"48,02",2,362,148,"40,88",72,"19,89",127,"35,08",0,"0,00",1,"0,28",0,"0,00",8,"2,21",3,"0,83",3,"0,83"
1205300000,Frankfurt (Oder),0011,822,48,413,"50,24",11,402,158,"39,30",100,"24,88",105,"26,12",2,"0,50",0,"0,00",12,"2,99",13,"3,23",7,"1,74",5,"1,24"
1205300000,Frankfurt (Oder),0012,360,25,133,"36,94",0,133,45,"33,83",24,"18,05",45,"33,83",0,"0,00",2,"1,50",5,"3,76",6,"4,51",3,"2,26",3,"2,26"
1205300000,Frankfurt (Oder),0013,423,36,210,"49,65",4,206,73,"35,44",60,"29,13",51,"24,76",0,"0,00",0,"0,00",4,"1,94",10,"4,85",7,"3,40",1,"0,49"
1205300000,Frankfurt (Oder),0014,650,34,410,"63,08",6,404,131,"32,43",152,"37,62",68,"16,83",1,"0,25",1,"0,25",14,"3,47",24,"5,94",9,"2,23",4,"0,99"
1205300000,Frankfurt (Oder),0015,410,12,278,"67,80",1,277,88,"31,77",122,"44,04",42,"15,16",1,"0,36",0,"0,00",2,"0,72",14,"5,05",3,"1,08",5,"1,81"
1205300000,Frankfurt (Oder),0016,976,43,372,"38,11",5,367,124,"33,79",96,"26,16",92,"25,07",3,"0,82",1,"0,27",7,"1,91",21,"5,72",9,"2,45",14,"3,81"
1205300000,Frankfurt (Oder),0017,657,36,247,"37,60",3,244,82,"33,61",55,"22,54",87,"35,66",0,"0,00",1,"0,41",1,"0,41",7,"2,87",7,"2,87",4,"1,64"
1205300000,Frankfurt (Oder),0018,794,35,371,"46,73",8,363,142,"39,12",87,"23,97",89,"24,52",3,"0,83",2,"0,55",4,"1,10",24,"6,61",3,"0,83",9,"2,48"
1205300000,Frankfurt (Oder),0019,571,26,245,"42,91",0,245,96,"39,18",57,"23,27",72,"29,39",0,"0,00",0,"0,00",2,"0,82",10,"4,08",5,"2,04",3,"1,22"
1205300000,Frankfurt (Oder),0020,1091,85,515,"47,20",8,507,207,"40,83",114,"22,49",149,"29,39",2,"0,39",4,"0,79",4,"0,79",18,"3,55",2,"0,39",7,"1,38"
1205300000,Frankfurt (Oder),0021,826,26,343,"41,53",2,341,122,"35,78",70,"20,53",102,"29,91",2,"0,59",3,"0,88",10,"2,93",12,"3,52",5,"1,47",15,"4,40"
