WKNR,AGS,Gemeindename,Wahlbezirksnr.,Wahlberechtigte,Wähler,"Wahlbeteiligung in Prozent","Wahlberechtigte ohne Sperrvermerk","Wahlberechtigte mit Sperrvermerk","Wahlberechtigte nach WO","Wähler mit Wahlschein","Ungültige Stimmen","Gültige Stimmen",SPD,CDU,PDS,DVU,GRÜNE/B90,FDP,AfW,AUB-Brandenburg,DKP,GRAUE,FAMILIE,50 Plus,JA,Offensive D,BRB,Einzelbewerber
034,"1,21E+07",Vierlinden,0002,235,158,"67,23",229,6,0,0,4,154,18,84,43,0,2,3,4,0,0,0,0,0,0,0,0,0
034,"1,21E+07",Vierlinden,0003,156,109,"69,87",154,2,0,0,1,108,21,34,40,0,3,1,8,0,0,0,0,0,0,1,0,0
034,"1,21E+07",Vierlinden,0004,283,170,"60,07",266,17,0,0,8,162,31,28,76,0,8,10,6,0,0,0,0,0,0,3,0,0
034,"1,21E+07",Vierlinden,0005,191,113,"59,16",185,6,0,0,6,107,36,24,34,0,5,4,4,0,0,0,0,0,0,0,0,0
034,"1,21E+07",Vierlinden,0006,92,58,"63,04",89,3,0,0,2,56,10,12,25,0,6,1,2,0,0,0,0,0,0,0,0,0
034,"1,21E+07",Waldsieversdorf,0001,730,423,"57,95",688,42,0,0,11,412,103,112,147,0,18,8,17,0,0,0,0,0,0,7,0,0
034,"1,21E+07",Zechin,0001,115,58,"50,43",110,5,0,0,1,57,17,11,19,0,4,1,4,0,0,0,0,0,0,1,0,0
034,"1,21E+07",Zechin,0002,123,65,"52,85",120,3,0,0,3,62,15,13,19,0,2,9,3,0,0,0,0,0,0,1,0,0
034,"1,21E+07",Zechin,0003,415,229,"55,18",412,3,0,0,4,225,56,52,79,0,10,10,8,0,0,0,0,0,0,10,0,0
034,"1,21E+07",Zeschdorf,0001,740,411,"55,54",692,48,0,0,14,397,65,107,178,0,1,15,23,0,0,0,0,0,0,8,0,0
034,"1,21E+07",Zeschdorf,0002,154,105,"68,18",154,0,0,0,5,100,17,20,51,0,5,2,3,0,0,0,0,0,0,2,0,0
034,"1,21E+07",Zeschdorf,0003,324,157,"48,46",312,12,0,0,7,150,29,33,67,0,2,12,6,0,0,0,0,0,0,1,0,0
034,"1,21E+07",Briefwahl,9341,0,726,-,0,0,0,726,6,720,200,179,266,0,40,18,9,0,0,0,0,0,0,8,0,0
034,"1,21E+07",Briefwahl,9342,0,1279,-,0,0,0,1279,19,1260,281,395,421,0,51,41,42,0,0,0,0,0,0,29,0,0
035,"1,21E+07",Frankfurt (Oder),0001,935,416,"44,49",850,85,0,0,10,406,93,92,140,0,23,11,27,0,0,0,0,0,0,15,0,5
035,"1,21E+07",Frankfurt (Oder),0002,915,435,"47,54",832,83,0,0,15,420,93,78,182,0,22,15,15,0,0,0,0,0,0,9,0,6
035,"1,21E+07",Frankfurt (Oder),0003,1029,356,"34,60",907,122,0,0,20,336,90,56,151,0,12,11,9,0,0,0,0,0,0,5,0,2
035,"1,21E+07",Frankfurt (Oder),0004,942,395,"41,93",841,101,0,0,9,386,91,70,171,0,17,7,13,0,0,0,0,0,0,13,0,4
035,"1,21E+07",Frankfurt (Oder),0005,881,414,"46,99",795,86,0,0,14,400,96,67,183,0,11,11,21,0,0,0,0,0,0,10,0,1
035,"1,21E+07",Frankfurt (Oder),0006,739,340,"46,01",686,53,0,0,9,331,71,55,146,0,18,14,14,0,0,0,0,0,0,9,0,4
035,"1,21E+07",Frankfurt (Oder),0007,1156,507,"43,86",1027,129,0,0,14,493,105,97,218,0,20,15,27,0,0,0,0,0,0,8,0,3
035,"1,21E+07",Frankfurt (Oder),0008,717,330,"46,03",661,56,0,0,6,324,67,46,155,0,12,7,23,0,0,0,0,0,0,11,0,3
035,"1,21E+07",Frankfurt (Oder),0009,716,316,"44,13",655,61,0,0,16,300,68,65,122,0,16,10,9,0,0,0,0,0,0,10,0,0
035,"1,21E+07",Frankfurt (Oder),0010,491,189,"38,49",452,39,0,0,10,179,41,45,57,0,8,6,17,0,0,0,0,0,0,5,0,0
035,"1,21E+07",Frankfurt (Oder),0011,518,253,"48,84",462,56,0,0,8,245,48,56,83,0,18,6,16,0,0,0,0,0,0,3,0,15
035,"1,21E+07",Frankfurt (Oder),0012,796,476,"59,80",745,51,0,0,11,465,74,177,124,0,22,19,29,0,0,0,0,0,0,9,0,11
035,"1,21E+07",Frankfurt (Oder),0013,435,243,"55,86",415,20,0,0,5,238,46,92,49,0,7,22,13,0,0,0,0,0,0,4,0,5
035,"1,21E+07",Frankfurt (Oder),0014,951,410,"43,11",888,63,0,0,14,396,82,115,110,0,26,21,23,0,0,0,0,0,0,13,0,6
035,"1,21E+07",Frankfurt (Oder),0015,1073,363,"33,83",1039,34,0,0,15,348,73,45,173,0,8,13,15,0,0,0,0,0,0,17,0,4
035,"1,21E+07",Frankfurt (Oder),0016,978,482,"49,28",924,54,0,0,25,457,76,71,228,0,13,16,35,0,0,0,0,0,0,12,0,6
035,"1,21E+07",Frankfurt (Oder),0017,1228,523,"42,59",1132,96,0,0,14,509,122,69,238,0,14,19,29,0,0,0,0,0,0,12,0,6
035,"1,21E+07",Frankfurt (Oder),0018,896,370,"41,29",843,53,0,0,18,352,65,57,173,0,15,15,20,0,0,0,0,0,0,5,0,2
035,"1,21E+07",Frankfurt (Oder),0019,620,194,"31,29",579,41,0,0,9,185,52,26,73,0,5,8,17,0,0,0,0,0,0,3,0,1
035,"1,21E+07",Frankfurt (Oder),0020,619,221,"35,70",599,20,0,0,9,212,40,41,96,0,9,6,16,0,0,0,0,0,0,4,0,0
035,"1,21E+07",Frankfurt (Oder),0021,1082,475,"43,90",1011,71,0,0,34,441,90,84,209,0,17,10,19,0,0,0,0,0,0,8,0,4
