WKNR,AGS,Gemeindename,Wahlbezirksnr.,Wahlberechtigte,Wähler,"Wahlbeteiligung in Prozent","Wahlberechtigte ohne Sperrvermerk","Wahlberechtigte mit Sperrvermerk","Wahlberechtigte nach WO","Wähler mit Wahlschein","Ungültige Stimmen","Gültige Stimmen",SPD,CDU,PDS,DVU,GRÜNE/B90,FDP,AfW,AUB-Brandenburg,DKP,GRAUE,FAMILIE,50 Plus,JA,Offensive D,BRB,Einzelbewerber
001,"1,21E+07",Plattenburg,0011,197,86,"43,65",185,12,0,0,2,84,30,14,18,11,0,2,1,1,0,1,3,0,2,0,1,0
001,"1,21E+07",Plattenburg,0012,116,80,"68,97",111,5,0,0,1,79,33,22,19,3,0,2,0,0,0,0,0,0,0,0,0,0
001,"1,21E+07",Plattenburg,0013,221,152,"68,78",214,7,0,0,1,151,58,51,16,14,1,6,0,3,0,0,0,1,0,0,1,0
001,"1,21E+07",Plattenburg,0014,281,170,"60,50",276,5,0,0,4,166,55,47,41,14,3,0,0,1,0,1,3,0,1,0,0,0
001,"1,21E+07",Rühstädt,0001,245,162,"66,12",236,9,0,0,2,160,57,53,28,9,2,4,0,3,0,0,4,0,0,0,0,0
001,"1,21E+07",Rühstädt,0002,121,99,"81,82",121,0,0,0,0,99,30,24,29,8,0,2,0,6,0,0,0,0,0,0,0,0
001,"1,21E+07",Rühstädt,0003,107,78,"72,90",102,5,0,0,1,77,19,28,20,4,1,0,0,0,0,0,2,2,0,0,1,0
001,"1,21E+07",Weisen,0001,842,510,"60,57",819,23,0,0,6,504,226,97,113,22,7,11,0,14,0,2,7,3,1,0,1,0
001,"1,21E+07",Weisen,0002,102,53,"51,96",102,0,0,0,0,53,12,13,16,8,0,1,0,1,0,0,1,0,1,0,0,0
001,"1,21E+07",Wittenberge,0001,760,327,"43,03",735,25,0,0,11,316,118,40,82,38,1,12,0,14,1,0,4,2,4,0,0,0
001,"1,21E+07",Wittenberge,0002,926,471,"50,86",882,44,0,2,9,462,192,92,100,32,6,11,0,19,0,0,5,2,2,0,1,0
001,"1,21E+07",Wittenberge,0003,1047,573,"54,73",953,94,0,0,9,564,311,78,114,15,4,11,0,17,0,1,7,0,3,2,1,0
001,"1,21E+07",Wittenberge,0004,1219,661,"54,22",1133,86,0,0,13,648,349,76,160,15,6,11,2,14,0,3,6,1,3,0,2,0
001,"1,21E+07",Wittenberge,0005,969,499,"51,50",920,49,0,0,13,486,244,60,121,19,3,12,0,13,0,2,6,2,2,0,2,0
001,"1,21E+07",Wittenberge,0006,716,380,"53,07",687,29,0,0,7,373,218,31,82,6,0,8,0,14,1,4,7,1,1,0,0,0
001,"1,21E+07",Wittenberge,0007,761,347,"45,60",719,42,0,0,7,340,149,46,77,24,3,11,0,11,0,4,6,4,3,1,1,0
001,"1,21E+07",Wittenberge,0008,725,354,"48,83",694,31,0,0,7,347,147,55,80,22,7,8,0,15,0,0,10,2,0,0,1,0
001,"1,21E+07",Wittenberge,0009,1070,483,"45,14",1016,54,0,0,22,461,190,56,131,38,4,10,0,12,1,2,13,2,0,0,2,0
001,"1,21E+07",Wittenberge,0010,669,249,"37,22",635,34,0,0,7,242,80,29,63,16,2,20,0,11,2,0,15,2,1,0,1,0
001,"1,21E+07",Wittenberge,0011,697,307,"44,05",656,41,0,0,9,298,124,49,72,24,2,9,0,1,0,0,11,3,2,0,1,0
001,"1,21E+07",Wittenberge,0012,1144,609,"53,23",1059,85,0,0,6,603,316,83,115,25,8,18,1,11,2,4,11,4,2,1,2,0
001,"1,21E+07",Wittenberge,0013,1160,614,"52,93",1058,102,0,0,5,609,275,113,130,32,5,15,0,20,0,0,15,2,1,0,1,0
001,"1,21E+07",Wittenberge,0014,942,422,"44,80",907,35,0,0,8,414,200,40,112,25,2,8,2,10,0,1,9,1,2,2,0,0
001,"1,21E+07",Wittenberge,0015,1112,614,"55,22",1063,49,0,0,13,601,274,87,146,37,7,14,0,12,0,3,13,4,2,1,1,0
001,"1,21E+07",Wittenberge,0016,1139,588,"51,62",1073,66,0,0,9,579,277,69,150,28,5,12,0,12,3,3,12,2,5,0,1,0
001,"1,21E+07",Wittenberge,0017,862,468,"54,29",821,41,0,0,13,455,213,57,114,27,6,14,0,10,1,2,7,1,1,1,1,0
001,"1,21E+07",Wittenberge,0018,889,390,"43,87",825,64,0,0,3,387,129,74,92,28,6,9,1,31,0,1,7,4,3,0,2,0
001,"1,21E+07",Wittenberge,0019,148,99,"66,89",139,9,0,0,0,99,34,26,16,6,5,2,0,5,0,0,5,0,0,0,0,0
001,"1,21E+07",Wittenberge,0020,438,246,"56,16",418,20,0,0,3,243,91,65,33,13,2,7,1,25,0,0,4,1,0,0,1,0
001,"1,21E+07",Briefwahl,9001,0,937,-,0,0,0,937,5,932,436,152,208,27,21,30,0,32,0,2,15,4,1,1,3,0
001,"1,21E+07",Briefwahl,9002,0,852,-,0,0,0,852,7,845,283,231,241,16,23,27,1,7,1,4,4,1,3,1,2,0
001,"1,21E+07",Briefwahl,9003,0,585,-,0,0,0,585,3,582,202,162,118,23,18,23,1,18,0,6,5,0,4,0,2,0
002,"1,21E+07",Heiligengrabe,0001,218,119,"54,59",214,4,0,0,3,116,34,22,38,5,6,2,0,2,0,0,5,0,2,0,0,0
002,"1,21E+07",Heiligengrabe,0002,215,105,"48,84",207,8,0,0,2,103,34,16,31,14,2,3,0,0,0,1,1,1,0,0,0,0
002,"1,21E+07",Heiligengrabe,0003,669,342,"51,12",647,22,0,0,6,336,97,61,90,15,9,21,22,3,0,5,12,0,1,0,0,0
002,"1,21E+07",Heiligengrabe,0004,233,138,"59,23",228,5,0,0,10,128,39,20,42,5,1,12,2,0,0,1,5,0,0,0,1,0
002,"1,21E+07",Heiligengrabe,0005,800,330,"41,25",738,62,0,0,7,323,129,73,71,19,12,4,5,1,0,0,6,1,2,0,0,0
002,"1,21E+07",Heiligengrabe,0006,176,69,"39,20",166,10,0,0,1,68,16,11,23,9,3,5,0,0,0,0,1,0,0,0,0,0
002,"1,21E+07",Heiligengrabe,0007,220,137,"62,27",213,7,0,0,5,132,26,40,40,9,4,4,1,0,0,0,8,0,0,0,0,0
